Insit.Punc	Insit.Pcol	Test.Punc	Test.Pcol	RTest.Punc	RTest.Pcol	RTest.rateUnc	RTest.rateCol	Out.acquire	Out.clear	LABX.base	LABX.time	LABX.dens	LABX.freq	LABX.colabx	LABX.susabx	LABX.susever	LABX.clr	LABX.clrAbx	LABX.clrEver	Abx.rateUnc	Abx.rateCol	LogLike
0.0909331670	0.9090668330	0.0000000000	0.8953213310	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0034400013	1.0000000000	1.0000000000	1.0000000000	0.0511586936	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12091.2
0.3330932402	0.6669067598	0.0000000000	0.8784062634	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0036855995	1.0000000000	1.0000000000	1.0000000000	0.0439949935	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12076.5
0.9998918613	0.0001081387	0.0000000000	0.9188817448	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0018670883	1.0000000000	1.0000000000	1.0000000000	0.0502410355	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12079.7
0.7237496133	0.2762503867	0.0000000000	0.9250056047	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0018862093	1.0000000000	1.0000000000	1.0000000000	0.0416690030	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12038.9
0.9886041482	0.0113958518	0.0000000000	0.9428243299	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0018889138	1.0000000000	1.0000000000	1.0000000000	0.0655656968	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12062.3
0.5699155800	0.4300844200	0.0000000000	0.9347482969	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009748229	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0017744486	1.0000000000	1.0000000000	1.0000000000	0.0456375612	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12051.7
0.9105990442	0.0894009558	0.0000000000	0.9546228957	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009748229	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0024002002	1.0000000000	1.0000000000	1.0000000000	0.0368856525	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12041.5
0.0818076338	0.9181923662	0.0000000000	0.8631616648	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009748229	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0031260812	1.0000000000	1.0000000000	1.0000000000	0.0405965206	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12026.1
0.9094365670	0.0905634330	0.0000000000	0.8521678743	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009628327	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0028320647	1.0000000000	1.0000000000	1.0000000000	0.0641336235	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12131.3
0.9894565363	0.0105434637	0.0000000000	0.8219073700	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010110457	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0035006384	1.0000000000	1.0000000000	1.0000000000	0.0470471558	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12119.1
0.1238881718	0.8761118282	0.0000000000	0.8627807080	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010110457	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0038514477	1.0000000000	1.0000000000	1.0000000000	0.0571767832	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12109.5
0.9788679643	0.0211320357	0.0000000000	0.8582021425	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010523142	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0032532386	1.0000000000	1.0000000000	1.0000000000	0.0506455662	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12132.2
